THREAT_ID,NAME,DESCRIPTION,CVE_ID,BUGTRAQ_ID,VENDOR_ID,CATEGORY,SEVERITY,REFERENCE
31622,"CA BrightStor ARCserve Backup caloggerd Opcode 79 Stack Overflow","There exists a buffer overflow vulnerability in Computer Associates BrightStor ARCserve Backupproduct. The vulnerability is due to insufficient bounds checking in the user supplied data containedinside the requests sent to the caloggerd service. A remote unauthenticated attacker may leverage thisvulnerability to inject and execute arbitrary code on the target host with System level privileges.",CVE-2008-2241;,29283;,,overflow,high,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2008-2241;
33191,"Sun ONC RPC Multiple fragments in One Packet Evasion","This signature is indicated a Sun ONC RPC fragmentation evasion packet.",,,,code-execution,high,
32459,"IBM AIX ToolTalk Database Server Buffer Overflow Vulnerability","IBM AIX ToolTalk database server (rpc.ttdbserverd) is prone to a buffer overflow vulnerability while parsing certain crafted RPC requests. The vulnerability is present in the _tt_internal_realpath function which fails to check certain boundary conditions while copying user-supplied input to limited memory buffers. An attacker could exploit the vulnerability by sending a crafted RPC request. A successful attack could lead to remote code execution with the privileges of the server.",,,,overflow,high,http://risesecurity.org/advisories/RISE-2009001.txt;http://aix.software.ibm.com/aix/efixes/security/libtt_advisory.asc;
34175,"Novell NetWare NFS Portmapper and RPC Module Stack Buffer Overflow Vulnerability","Novell NetWare NFS Portmapper and RPC module is prone to an overflow vulnerability while parsing malformed RPC requests. The vulnerability is due to the lack of proper checks in the RPC request. A successful attack could lead to remote code execution with the privileges of the server.",,36564,,overflow,high,http://secunia.com/advisories/36916/
32150,"Sun Solstice Sadmind adm_build_path Buffer Overflow","Sun Solstice AdminSuite on Solaris 8 and 9 is prone to a stack overflow vulnerability while parsing certain crafted RPC requests. The vulnerability is present in the adm_build_path function and is due to the lack of proper checks on supplied input. An attacker could exploit the vulnerability by sending a crafted RPC request. A successful attack could lead to remote code execution with the privileges of the server.",CVE-2008-4556;,31751;,,overflow,high,http://secunia.com/advisories/32283/;
32471,"MIT Kerberos Kadmind Rename Principal Buffer Overflow","MIT Kerberos Administration Server (kadmind) is prone to a stack overflow vulnerability while handling certain crafted RPC requests. The vulnerability is due to insufficient boundary check while handling requests to rename principals. A remote authenticated attacker could exploit this vulnerability by sending a specially crafted RPC request to the kadmind daemon. Successful exploitation may lead to execution of remote code execution with the privileges of the server.",CVE-2007-2798;,24653;,,overflow,high,http://secunia.com/advisories/25800/;http://labs.idefense.com/intelligence/vulnerabilities/display.php?id=548;
30299,"Sun RPC TTDB xdr_array Buffer Overflow Vulnerability","SunRPC xdr_array filter primitive is prone to an integer overflow vulnerability while parsing certain crafted RPC requests.External Date Representation (XDR) primitives are routines that allow for uniform representation of basic or constructed data types, regardless of system architecture, by their translation to and from an external representation. However, the xdr_arrayprimitive which translate variable length arrays is prone to an integer overflow when large number of elements are passed to it.Due to lack of boundary checks, a user-supplied integer value is used for memory allocation into which user data is copied later,leading to a buffer overflow.  An attacker could exploit the vulnerability by sending a crafted RPC request which could lead to remote code execution on the server, or crash the server.",CVE-2002-0391;,5356;,,code-execution,high," http://www.kb.cert.org/vuls/id/192995 ; http://online.securityfocus.com/archive/1/285740 ; http://www.cert.org/advisories/CA-2002-25.html ;"
30242,"MIT Kerberos kadmind RPC Library Uninitialized Pointer Memory Corruption","RPC library in MIT Kerberos 5 (krb5) 1.6.1 and earlier is prone to a memory corruption vulnerability while parsing certain craftedRPC requests. The vulnerability exists in the gssrpc__svcauth_gssapi function in the library and is due memory free of an invalid pointer when the length of a RPC credential field is zero, leading to an exploitable memory corruption. An attacker could exploit the vulnerability by sending a crafted RPC request which could lead to remote code execution on the server, or crash the server.",CVE-2007-2442;,24655;,,code-execution,high," http://www.kb.cert.org/vuls/id/356961 ; http://secunia.com/advisories/25800/ ; http://web.mit.edu/kerberos/www/advisories/MITKRB5-SA-2007-004.txt ;"
31247,"Sun Solaris rpc.ypupdated Command Injection Vulnerability","Sun Solaris rpc.ypupdated service is prone to a command injection vulnerability while handling certain crafted RPC requests. The vulnerability is due to improper user input validation when processing RPC requests. A remote unauthenticated attacker can leverage this vulnerability by sending crafted RPC message to the target host, potentially injecting and executing arbitrary commands with System level privileges.",CVE-1999-0208;,28383;,,code-execution,high,
33190,"Sun ONC RPC Small Piece fragmentation Evasion","This signature is indicated one Sun ONC rpc fragmented packet has been found",,,,code-execution,high,
30211,"Sun Solaris SAdmin Client Credentials Remote Command Execution Vulnerability","Sun Solaris SAdmin daemon is prone to a command execution vulnerability while parsing certain crafted RPC requests. The vulnerabilityexists due to the weak authentication AUTH_SYS that SAdmin uses while handling RPC requests. An attacker could exploit the vulnerabilityby sending crafted RPC requests allowing root access to the server, and thereby allow command execution with root privileges. Asuccessful exploit could allow complete control of the victim server.",CVE-2003-0722;,8615;,,code-execution,critical," http://labs.idefense.com/intelligence/vulnerabilities/display.php?id=6 ; http://www.kb.cert.org/vuls/id/41870 ; http://secunia.com/advisories/9742 ; http://www.kb.cert.org/vuls/id/41870 ; http://sunsolve.sun.com/search/document.do?assetkey=1-26-56740-1&searchclause=security ;"
32215,"CA BrightStor ArcServe Media Server Stack Overflow","CA BrightStor ARCserve Media Server provides certain services through SUNRPC messages. However, the server is prone to a stack overflow vulnerability while parsing certain crafted RPC requests. The vulnerability is due to insufficient checks on parameters passed through certain procedures of an RPC request. An attacker could exploit the vulnerability by sending a crafted RPC request to the service on the specified service port. A successful exploit could allow a remote unauthenticated attacker to execute arbitrary code on the vulnerable system in the context of the server.",CVE-2007-2139;,23635;,,overflow,high,http://www.securityfocus.com/archive/1/archive/1/466790/100/0/threaded;http://secunia.com/advisories/24972;
32803,"Sun Solaris sadmind RPC Request Integer Overflow","Sun Solaris sadmind service is prone to an integer overflow vulnerability while parsing certain crafted RPC requests. The vulnerability is due to the lack of proper checks on certain fields passed in an sadmin data. An attacker could exploit the vulnerability by sending a crafted RPC request to a vulnerable server. A successful attack could lead to remote code execution with the privileges of the server.",CVE-2008-3870;,35083;,,overflow,high,http://secunia.com/advisories/32473/;
33137,"IBM Informix Dynamic Server librpc.dll Buffer Overflows Vulnerability","IBM Informix Dynamic Server librpc.dll is vulnerable to an overflow condition while parsing malformed RPC requests. The vulnerability is due to the lack of proper checks in the RPC requests. An attacker could exploit the vulnerability by sending a malformed RPC request. A successful attack could lead to remote code execution with the privileges of the server.",CVE-2009-2753;,38471;,,overflow,critical,http://secunia.com/advisories/38731/;
33789,"SunRPC rpc.ypupdated Remote Command Execution Vulnerability","Sun Solaris rpc.ypupdated service is prone to a command injection vulnerability while handling certain crafted RPC requests. The vulnerability is due to improper user input validation when processing RPC requests. A remote unauthenticated attacker can leverage this vulnerability by sending crafted RPC message to the target host, potentially injecting and executing arbitrary commands with System level privileges.",CVE-1999-0209;,1749;,,code-execution,high,
30418,"Sun Solaris ypbind PROC_DOMAIN Buffer Overflow Vulnerability","Solaris 5.4 through 8 are prone to a buffer overflow vulnerability in the ypbind daemon. The vulnerability is due to the lackof boundary checks on the parameters passed to the service running on RPC service number 100007, leading to an exploitableoverflow. An attacker could exploit the vulnerability by sending a crafted RPC request which could lead to remote code execution on the server, or crash the server.",CVE-2001-1328;,10809;,,overflow,high,http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/203;
30300,"REXD Remote Authentication Bypass Vulnerability","Certain versions of rexd daemon on Solaris and AIX 3.2 are prone to remote authentication bypass vulnerability while parsing certain crafted RPC requests sent to the service. The vulnerability is due to the usage of weak authentication mechanisms that could allow an attacker to gain unprivileged remote access. An attacker could exploit the vulnerability by sending a crafted RPC request which could allow complete control of the victim server machine.",CVE-1999-0627;,37;,,code-execution,high,http://www.cert.org/advisories/CA-92.05.AIX.REXD.Daemon.vulnerability.html;
32531,"Linux Kernel nfsd CAP_MKNOD Security Bypass","Linux kernel nfsd is prone to a security bypass vulnerability while handling certain crafted NFS requests. The vulnerability is due to an insecure design in Linux kernel when handling the NFS request, MKNOD. An attacker could exploit the vulnerability by sending a crafted NFS MKNOD request to the target system, to create a device on the target system.",,34205;,,code-execution,high,http://secunia.com/advisories/34432/;
31237,"FreeBSD nfsd NFS Mount Request Denial of Service","There exists a denial of service vulnerability in the FreeBSD NFS daemon. A remote unauthenticated attacker may send a crafted request to the target NFS daemon, resulting in a kernel panic condition. As a result, the target operating system will detect a fault and initiate a reboot.",CVE-2006-0900;,16838;,,dos,high,http://secunia.com/advisories/19017/;
31529,"EMC Legato NetWorker Remote Exec Service Buffer Overflow","There exists a buffer overflow vulnerability in EMC legato NetWorker product. The flaw is due to improper boundary protection when processing RPC requests. A remote unauthenticated attacker can leverage this vulnerability by sending crafted RPC message to the target host, potentially inject and execute arbitrary code with System level privileges.",CVE-2007-3618;,25375;,NULL;,overflow,high,http://secunia.com/advisories/26517;http://www.zerodayinitiative.com/advisories/ZDI-07-049.html;
30414,"Sun Solaris RWall Daemon Syslog Format String Vulnerability","Solaris RPC wall daemon (rpc.walld) in Solaris 2.5.1 through 8 is prone to a format string vulnerability while parsing certain crafted RPC requests. The vulnerability is due to the lack of sanitization of format string characters in the strings passed to the syslog function of the daemon. An attacker could exploit the vulnerability by sending a crafted RPC request. A successful attack could lead to remote code execution with the privileges of the server.",CVE-2002-0573;,4639;,,code-execution,high,http://archives.neohapsis.com/archives/vulnwatch/2002-q2/0049.html;http://www.cert.org/advisories/CA-2002-10.html;http://www.kb.cert.org/vuls/id/638099;
30301,"Sun RPC CMSD xdr_array Buffer Overflow Vulnerability","SunRPC xdr_array filter primitive used by CMS daemon is prone to an integer overflow vulnerability while parsing certain crafted RPC requests. External Date Representation (XDR) primitives are routines that allow for uniform representation of basic or constructed data types, regardless of system architecture, by their translation to and from an external representation. However, the xdr_array primitive which translate variable length arrays is prone to an integer overflow when large number of elements are passed to it. Due to lack of boundary checks, a user-supplied integer value is used for memory allocation into which user data is copied later, leading to a buffer overflow.  An attacker could exploit the vulnerability by sending a crafted RPC request which could lead to remote code execution on the server, or crash the server.",CVE-2002-0391;,5356;,,code-execution,high," http://www.kb.cert.org/vuls/id/192995 ; http://online.securityfocus.com/archive/1/285740 ; http://www.cert.org/advisories/CA-2002-25.html ;"
33192,"Portmapper remote infomation collection evasive attempt","User can dump out all rpc information by send a request to portmapper. This signature indicated a evasion port dump request.",CVE-1999-0632;,,,info-leak,high,http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-1999-0632;
31621,"CA BrightStor ARCserve Backup XDR Parsing Buffer Overflow","There exists a buffer overflow vulnerability in CA BrightStor ARCserve Backup. The vulnerability is due to insufficient boundary checking in the xdr_rwsstring() library function. A remote unauthenticated attacker may exploit this vulnerability by sending a long parameter into a daemon using this function to process strings. Successful exploitation of this vulnerability allows for arbitrary code execution on the vulnerable system in the context of the affected application, commonly System.",CVE-2008-2242;,29283;,,overflow,high,http://secunia.com/advisories/30300/;
30280,"Solaris SnmpXdmid Daemon Buffer Overflow Vulnerability","Solaris snmpXdmid SNMP to DMI mapper daemon shipped with Solaris versions 2.6, 7 and 8 is prone to a buffer overflow vulnerability while parsing certain crafted RPC requests sent to the daemon. The vulnerability is present in the daemon's code for handling an 'indication' message sent over RPC service 100249, leading to an exploitable overflow. An attacker could exploit the vulnerabilityby sending a crafted RPC request which could lead to remote code execution on the server, or crash the server.",CVE-2001-0236;,2417;,,code-execution,critical," http://www.cert.org/advisories/CA-2001-05.html ; http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/207 ;"
30413,"Solaris CDE ToolTalk Database Server Format String Vulnerability","Solaris ToolTalk database server(rpc.ttdbserverd) is prone to a format string vulnerability while parsing certain crafted RPC requests. The vulnerability is due to the lack of sanitization of format string characters in the first string in the RPC request.An attacker could exploit the vulnerability by sending a crafted RPC request. A successful attack could lead to remote code execution with the privileges of the server.",CVE-2001-0717;,3382;,,code-execution,high,http://www.cert.org/advisories/CA-2001-27.html;http://securitytracker.com/id?1002479;
30298,"Sun solaris rpc.yppasswdd Buffer Overflow Vulnerability","Solaris rpc.yppasswdd (yppasswd server) in versions 2.6, 7 and 8 of the OS is prone to a buffer overflow vulnerabilitywhile parsing certain crafted RPC requests sent to the service. The vulnerability is present in the service's code for handling apassword update message sent to RPC service number 100009, leading to an exploitable overflow. An attacker could exploit the vulnerabilityby sending a crafted RPC request which could lead to remote code execution on the server, or crash the server.",CVE-2001-0779;,2763;,,code-execution,critical," http://www.securityfocus.com/archive/1/187086 ; http://www.kb.cert.org/vuls/id/327281 ; http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/209 ;"
32802,"Sun Solaris sadmind RPC Request XDR Parsing Buffer Overflow","Sadmind service is prone to a heap overflow vulnerability while handling certain crafted RPC requests. The vulnerability is due to the lack of proper boundary checks while allocating heap buffers using values from the supplied input. An attacker could exploit the vulnerability by sending a crafted RPC request to the vulnerable server. A successful exploit could lead to remote code execution with the privileges of the server.",CVE-2008-3869;,35083;,,overflow,high,http://secunia.com/advisories/32473;http://sunsolve.sun.com/search/document.do?assetkey=1-66-259468-1;
30415,"CA BrightStor ARCserve Backup Media Server SUN RPC Service Buffer Overflow","CA BrightStor ARCserve Media Server provides certain services through SUNRPC messages. However, the server is prone to a buffer overflow vulnerability while parsing certain crafted RPC requests. The vulnerability is due to insufficient boundary checking when processing crafted strings supplied in SUN RPC requests. An attacker could exploit the vulnerability by sending a crafted RPC request to the service on the specified service port. A successful exploit could allow a remote unauthenticated attacker to execute arbitrary code on the vulnerable system in the context of the server.",CVE-2007-2139;,23635;,,overflow,high,http://www.securityfocus.com/archive/1/archive/1/466790/100/0/threaded;http://www.kb.cert.org/vuls/id/979825;http://www.frsirt.com/english/advisories/2007/1529;http://secunia.com/advisories/24972;http://supportconnectw.ca.com/public/storage/infodocs/babmedser-secnotice.asp;
31074,"CA BrightStor ARCserve Backup MediaSVR Buffer Overflow Vulnerability","CA BrightStor ARCserve Backup 11.5 SP2 build 4237 is prone to a remote code execution vulnerability while handling certain crafted RPC requests. The vulnerability is present in mediasvr.exe and is due to the lack of proper checks on the xdr_handle_t data in RPC packets, which is used in calculating an address for a function call. An attacker could exploit the vulnerability by sending a crafted RPC request and control flow of execution. A successful exploit could lead to remote code execution wit",CVE-2007-1785;,23209;,,code-execution,high,http://www.kb.cert.org/vuls/id/151305;http://secunia.com/advisories/24682;http://www.frsirt.com/english/advisories/2007/1161;http://supportconnectw.ca.com/public/storage/infodocs/babmedser-secnotice.asp;
31565,"CA BrightStor ARCserve Backup Media Server SUN RPC Denial of Service","There exists a denial of service vulnerability in CA BrightStor ARCserve Media Server. The vulnerability is due to insufficient boundary checking when processing crafted strings supplied in SUN RPC requests. Successful exploitation of this vulnerability allows a remote unauthenticated attacker to terminate the affected service, causing denial of service condition.",CVE-2007-2139;,23635;,,dos,high,http://secunia.com/advisories/24972/;http://supportconnectw.ca.com/public/storage/infodocs/babmedser-secnotice.asp;;
30409,"Linux rpc.statd Remote Format String Vulnerability","rpc.statd in the nfs-utils package in several Linux distributions is prone to format string vulnerability while parsingcertain crafted RPC requests sent to the service. The vulnerability is due to the lack of cleansing untrusting format strings,that could allow an attacker to gain unprivileged remote access. An attacker could exploit the vulnerability by sending acrafted RPC request which could allow complete control of the victim server machine.",CVE-2000-0666;,1480;,,code-execution,high,http://archives.neohapsis.com/archives/bugtraq/2000-07/0206.html;http://www.redhat.com/support/errata/RHSA-2000-043.html;http://www.calderasystems.com/support/security/advisories/CSSA-2000-025.0.txt;http://www.cert.org/advisories/CA-2000-17.html;
32265,"Linux kernel NFSv4 ACL Buffer Overflow Vulnerability","Linux Kernel is prone to a buffer overflow vulnerability while parsing certain crafted NFSV4 requests.The vulnerability is due to the lack of proper checks on ACL number in the NFSV4 request, leading to an exploitable buffer overflow. An attacker could exploit the vulnerability by sending a crafted NFSV4 request. A successful attack could lead to remote code execution with the privileges of the server.",CVE-2008-3915;,31133;,,overflow,medium,http://secunia.com/advisories/31881/;
32797,"MIT Kerberos KAdminD vsyslog Server Stack Overflow","MIT Kerberos V5 is prone to a stack overflow vulnerability while handling certain crafted RPC requests. The vulnerability is due to a boundary error in the server's logging function in the Kerberos Administration Server (kadmind). A remote, authenticated attacker can exploit this vulnerability by supplying a specially crafted string to the kadmind daemon. Successful exploitation would cause a stack based buffer overflow that can lead to compromising the Kerberos key database, or executing arbitrary code with root privileges on the target server.",CVE-2007-0957;,23285;,,overflow,medium,http://secunia.com/advisories/24740/;http://labs.idefense.com/intelligence/vulnerabilities/display.php?id=500;
32514,"Microsoft Windows WINS Service Heap Overflow Vulnerability","Microsoft Windows WINS Service is prone to a heap overflow vulnerability while parsing certain crafted WINS requests.The vulnerability is due to the lack of proper checks on user input data in the WINS request, leading to an exploitable heap overflow.An attacker could exploit the vulnerability by sending a crafted WINS request. A successful attack could lead to remote code execution with the privileges of the server.",CVE-2009-1923;,,MS09-039;,overflow,critical,http://www.microsoft.com/technet/security/Bulletin/MS09-039.mspx;
30407,"Microsoft WINS Server Name Validation Vulnerability","Microsoft Windows Internet Naming Service (WINS) server is prone to a memory corruption vulnerability while parsing certain crafted requests to the server. The vulnerability is due to the improper parsing of WINS computer names causing arbitrary memory overwrite.An attacker could exploit the vulnerability by sending a crafted WINS replication request to the server. A successful exploitcould lead to remote code execution with the privileges of the server.",CVE-2004-0567;,11922;,MS04-045;,code-execution,critical,http://www.microsoft.com/technet/security/bulletin/MS04-045.mspx;http://www.kb.cert.org/vuls/id/378160;http://securitytracker.com/id?1012517;http://secunia.com/advisories/13466;
33105,"Microsoft Windows WINS Server Local Privilege Escalation Vulnerability","Windows Internet Name Service (WINS) is vulnerable to elevation of privileges while parsing malformed WINS requests. The vulnerability is due to the lack of proper checks on user input data in the WINS request. A successful attack could lead to arbitrary code execution with the privileges of the server.",CVE-2008-1451;CVE-2011-1248,29588;,MS08-034;MS11-035,code-execution,medium,http://www.microsoft.com/technet/security/bulletin/MS08-034.mspx;http://www.microsoft.com/technet/security/Bulletin/MS11-035.mspx
32515,"Microsoft Windows WINS Service Integer Overflow Vulnerability","Microsoft Windows WINS Service is prone to a heap overflow vulnerability while parsing certain crafted WINS requests.The vulnerability is due to the lack of proper checks on user input data in the WINS request, leading to an exploitable heap overflow.An attacker could exploit the vulnerability by sending a crafted WINS request. A successful attack could lead to remote code execution with the privileges of the server.",CVE-2009-1924;,,MS09-039;,code-execution,critical,http://www.microsoft.com/technet/security/Bulletin/MS09-039.mspx;
30225,"Microsoft WINS Server Replication Request Parsing Memory Corruption Vulnerability","The WINS (Windows Internet Naming Service) service on Microsoft Windows NT Server 4.0, Windows 2000 Server, and Windows Server 2003 isprone to a code execution vulnerability while parsing certain crafted WINS packets. The vulnerability is due an arbitrary memoryoverwrite issue when parsing a modified memory pointer passed in the Association Context field in a WINS replication packet. An attacker could exploit the vulnerability by sending a crafted WINS replication packet to the server (running on port 42) and write arbitrary memory locations. A successful exploit could lead to remote code execution, or lead to a denial of service condition on the server.",CVE-2004-1080;,11763;,MS04-045;,code-execution,critical," http://www.kb.cert.org/vuls/id/145134 ; http://support.microsoft.com/kb/890710 ; http://www.microsoft.com/technet/security/bulletin/MS04-045.mspx ; http://secunia.com/advisories/13328/ ;"
31183,"CVS Annotate Command Long Revision String Buffer Overflow","There exists a buffer overflow vulnerability in the Concurrent Versions System (CVS). This issue is caused by improper bounds checking of user-supplied input. The vulnerable section of code is only exposed after user authentication. An attacker exploiting the vulnerability can cause a denial-of-service of the affected product.",CVE-2005-0753;,13217;,,overflow,medium,http://www.sans.org/newsletters/risk/display.php?v=4&i=16;http://secunia.com/advisories/14976;
30356,"CVS Max-dotdot Protocol Command Integer Overflow","CVS (Concurrent Version Systems) is prone to an integer overflow vulnerability while parsing certain requests. The vulnerabilityis due to the lack of proper checks on the argument passed to a Max-dotdot command, which could lead to an integer overflow vulnerability. An attacker could exploit the vulnerability by sending a crafted request to the CVS server.A successful exploit could lead to remote code execution on the vulnerable server.",CVE-2004-0417;,,,overflow,medium,http://secunia.com/advisories/11817/;
30268,"CVS Entry Line Flag Heap Overflow Vulnerability","CVS (Concurrent Versions System) feature versions 1.12.7 and earlier, and stable versions 1.11.15 and earlier are vulnerable to a heap overflow while parsing certain crafted CVS requests. The vulnerability is due to the improper handling of entry lines when applying modified and unchanged flags, leading to an exploitable heap overflow. An attacker could exploit the vulnerability by sendingcrafted CVS commands to cause the overflow, and lead to remote code execution.",CVE-2004-0396;,10384;,,code-execution,high," http://www.kb.cert.org/vuls/id/192038 ; http://secunia.com/advisories/11641 ;"
30368,"CVS Directory Request Double Free Heap Corruption Vulnerability","There is a double-free vulnerability in CVS 1.11.4 and earlier which allows remote attackers to cause a denial of service andpossibly execute arbitrary code via a malformed Directory request.",CVE-2003-0015;,6650;,,overflow,critical,http://archives.neohapsis.com/archives/vulnwatch/2003-q1/0028.html;http://www.cert.org/advisories/CA-2003-02.html;http://rhn.redhat.com/errata/RHSA-2003-013.html;http://www.kb.cert.org/vuls/id/650937;
31187,"CVS File Existence Information Disclosure Weakness","A weakness exists in the Concurrent Versions System (CVS) with the cvs ""history"" command. An anonymous or low-privileged attacker can exploit this weakness to gain information about files on a CVS server.",CVE-2004-0788;,10955;,,info-leak,medium,http://secunia.com/advisories/12309/;
30355,"CVS Argumentx Command Double Free Vulnerability","CVS (Concurrent Version Systems) is prone to a memory corruption vulnerability while parsing certain requests. The vulnerabilityis due to the improper parsing of a client request that contains an Argumentx command without issuing Argument command first, whichcould lead to a double free vulnerability. An attacker could exploit the vulnerability by sending a crafted request to the CVS server.A successful exploit could lead to remote code execution on the vulnerable server.",CVE-2004-0416;,10499;,,code-execution,high,http://lists.grok.org.uk/pipermail/full-disclosure/2004-June/022441.html;http://www.debian.org/security/2004/dsa-519;http://security.gentoo.org/glsa/glsa-200406-06.xml;http://www.redhat.com/support/errata/RHSA-2004-233.html;http://secunia.com/advisories/11817/;
33077,"Microsoft LSASS Recursive Stack Overflow Vulnerability","Microsoft LDAP server is prone to a denial of service vulnerability while parsing certain crafted LDAP requests.The vulnerability is due to the lack of proper checks on search request in the LDAP request, leading to a denial of service. An attacker could exploit the vulnerability by sending a crafted LDAP request. A successful attack could lead ldap server to be crashed.",CVE-2009-1928;,,MS09-066;,dos,high,http://www.microsoft.com/technet/security/Bulletin/MS09-066.mspx;
