port,transport,service
108,udp,snagas
108,tcp,snagas
109,udp,pop2
109,tcp,pop2
110,udp,pop3
110,tcp,pop3
111,udp,sunrpc
111,tcp,sunrpc
112,udp,mcidas
112,tcp,mcidas
113,udp,auth
113,tcp,ident
114,udp,audionews
114,tcp,audionews
115,udp,sftp
115,tcp,sftp
116,udp,ansanotify
116,tcp,ansanotify
117,udp,uucp-path
117,tcp,uucp-path
118,udp,sqlserv
118,tcp,sqlserv
119,udp,nntp
119,tcp,nntp
120,udp,cfdptkt
120,tcp,cfdptkt
121,udp,erpc
121,tcp,erpc
122,udp,smakynet
122,tcp,smakynet
123,udp,ntp
123,tcp,ntp
124,udp,ansatrader
124,tcp,ansatrader
125,udp,locus-map
125,tcp,locus-map
126,udp,nxedit
126,tcp,nxedit
127,udp,locus-con
127,tcp,locus-con
128,udp,gss-xlicen
128,tcp,gss-xlicen
129,udp,pwdgen
129,tcp,pwdgen
130,udp,cisco-fna
130,tcp,cisco-fna
131,udp,cisco-tna
131,tcp,cisco-tna
132,udp,cisco-sys
132,tcp,cisco-sys
133,udp,statsrv
133,tcp,statsrv
134,udp,ingres-net
134,tcp,ingres-net
135,udp,epmap
135,tcp,epmap
136,udp,profile
136,tcp,profile
137,udp,netbios-ns
137,tcp,netbios-ns
138,udp,netbios-dgm
138,tcp,netbios-dgm
139,udp,netbios-ssn
139,tcp,netbios-ssn
140,udp,emfis-data
140,tcp,emfis-data
141,udp,emfis-cntl
141,tcp,emfis-cntl
142,udp,bl-idm
142,tcp,bl-idm
143,udp,imap
143,tcp,imap
144,udp,uma
144,tcp,uma
145,udp,uaac
145,tcp,uaac
146,udp,iso-tp0
146,tcp,iso-tp0
147,udp,iso-ip
147,tcp,iso-ip
148,udp,jargon
148,tcp,jargon
149,udp,aed-512
149,tcp,aed-512
150,udp,sql-net
150,tcp,sql-net
151,udp,hems
151,tcp,hems
152,udp,bftp
152,tcp,bftp
153,udp,sgmp
153,tcp,sgmp
154,udp,netsc-prod
154,tcp,netsc-prod
155,udp,netsc-dev
155,tcp,netsc-dev
156,udp,sqlsrv
156,tcp,sqlsrv
157,udp,knet-cmp
157,tcp,knet-cmp
158,udp,pcmail-srv
158,tcp,pcmail-srv
159,udp,nss-routing
159,tcp,nss-routing
160,udp,sgmp-traps
160,tcp,sgmp-traps
161,udp,snmp
161,tcp,snmp
162,udp,snmptrap
162,tcp,snmptrap
163,udp,cmip-man
163,tcp,cmip-man
164,udp,cmip-agent
164,tcp,cmip-agent
165,udp,xns-courier
165,tcp,xns-courier
166,udp,s-net
166,tcp,s-net
167,udp,namp
167,tcp,namp
168,udp,rsvd
168,tcp,rsvd
169,udp,send
169,tcp,send
170,udp,print-srv
170,tcp,print-srv
171,udp,multiplex
171,tcp,multiplex
172,udp,cl/1
172,tcp,cl/1
173,udp,xyplex-mux
173,tcp,xyplex-mux
174,udp,mailq
174,tcp,mailq
175,udp,vmnet
175,tcp,vmnet
176,udp,genrad-mux
176,tcp,genrad-mux
177,udp,xdmcp
177,tcp,xdmcp
178,udp,nextstep
178,tcp,nextstep
179,udp,bgp
179,tcp,bgp
180,udp,ris
180,tcp,ris
181,udp,unify
181,tcp,unify
182,udp,audit
182,tcp,audit
183,udp,ocbinder
183,tcp,ocbinder
184,udp,ocserver
184,tcp,ocserver
185,udp,remote-kis
185,tcp,remote-kis
186,udp,kis
186,tcp,kis
187,udp,aci
187,tcp,aci
188,udp,mumps
188,tcp,mumps
189,udp,qft
189,tcp,qft
190,udp,gacp
190,tcp,gacp
191,udp,prospero
191,tcp,prospero
192,udp,osu-nms
192,tcp,osu-nms
193,udp,srmp
193,tcp,srmp
194,udp,irc
194,tcp,irc
195,udp,dn6-nlm-aud
195,tcp,dn6-nlm-aud
196,udp,dn6-smm-red
196,tcp,dn6-smm-red
197,udp,dls
197,tcp,dls
198,udp,dls-mon
198,tcp,dls-mon
199,udp,smux
199,tcp,smux
200,udp,src
200,tcp,src
201,udp,at-rtmp
201,tcp,at-rtmp
202,udp,at-nbp
202,tcp,at-nbp
203,udp,at-3
203,tcp,at-3
204,udp,at-echo
204,tcp,at-echo
205,udp,at-5
205,tcp,at-5
206,udp,at-zis
206,tcp,at-zis
207,udp,at-7
207,tcp,at-7
208,udp,at-8
208,tcp,at-8
209,udp,qmtp
209,tcp,qmtp
210,udp,z39.50
210,tcp,z39.50
211,udp,914c/g
211,tcp,914c/g
212,udp,anet
212,tcp,anet
213,udp,ipx
213,tcp,ipx
214,udp,vmpwscs
214,tcp,vmpwscs
215,udp,softpc
215,tcp,softpc
216,udp,CAIlic
216,tcp,CAIlic
217,udp,dbase
217,tcp,dbase
218,udp,mpp
218,tcp,mpp
219,udp,uarps
219,tcp,uarps
220,udp,imap3
220,tcp,imap3
221,udp,fln-spx
221,tcp,fln-spx
222,udp,rsh-spx
222,tcp,rsh-spx
223,udp,cdc
223,tcp,cdc
224,udp,masqdialer
224,tcp,masqdialer
242,udp,direct
242,tcp,direct
243,udp,sur-meas
243,tcp,sur-meas
244,udp,inbusiness
244,tcp,inbusiness
245,udp,link
245,tcp,link
246,udp,dsp3270
246,tcp,dsp3270
247,udp,subntbcst_tftp
247,tcp,subntbcst_tftp
248,udp,bhfhs
248,tcp,bhfhs
256,udp,rap
256,tcp,rap
257,udp,set
257,tcp,set
258,udp,yak-chat
258,tcp,yak-chat
259,udp,esro-gen
259,tcp,esro-gen
260,udp,openport
260,tcp,openport
261,udp,nsiiops
261,tcp,nsiiops
262,udp,arcisdms
262,tcp,arcisdms
263,udp,hdap
263,tcp,hdap
264,udp,bgmp
264,tcp,bgmp
265,udp,x-bone-ctl
265,tcp,x-bone-ctl
266,udp,sst
266,tcp,sst
267,udp,td-service
267,tcp,td-service
268,udp,td-replica
268,tcp,td-replica
280,udp,http-mgmt
280,tcp,http-mgmt
281,udp,personal-link
281,tcp,personal-link
282,udp,cableport-ax
282,tcp,cableport-ax
283,udp,rescap
283,tcp,rescap
284,udp,corerjd
284,tcp,corerjd
286,udp,fxp-1
286,tcp,fxp-1
287,udp,k-block
287,tcp,k-block
308,udp,novastorbakcup
308,tcp,novastorbakcup
309,udp,entrusttime
309,tcp,entrusttime
310,udp,bhmds
310,tcp,bhmds
311,udp,asip-webadmin
311,tcp,asip-webadmin
312,udp,vslmp
312,tcp,vslmp
313,udp,magenta-logic
313,tcp,magenta-logic
314,udp,opalis-robot
314,tcp,opalis-robot
315,udp,dpsi
315,tcp,dpsi
316,udp,decauth
316,tcp,decauth
317,udp,zannet
317,tcp,zannet
318,udp,pkix-timestamp
318,tcp,pkix-timestamp
319,udp,ptp-event
319,tcp,ptp-event
320,udp,ptp-general
320,tcp,ptp-general
321,udp,pip
321,tcp,pip
322,udp,rtsps
322,tcp,rtsps
333,udp,texar
333,tcp,texar
344,udp,pdap
344,tcp,pdap
345,udp,pawserv
345,tcp,pawserv
346,udp,zserv
346,tcp,zserv
347,udp,fatserv
347,tcp,fatserv
348,udp,csi-sgwp
348,tcp,csi-sgwp
349,udp,mftp
349,tcp,mftp
350,udp,matip-type-a
350,tcp,matip-type-a
351,udp,matip-type-b
351,tcp,matip-type-b
351,udp,bhoetty
351,tcp,bhoetty
352,udp,dtag-ste-sb
352,tcp,dtag-ste-sb
352,udp,bhoedap4
352,tcp,bhoedap4
353,udp,ndsauth
353,tcp,ndsauth
354,udp,bh611
354,tcp,bh611
355,udp,datex-asn
355,tcp,datex-asn
356,udp,cloanto-net-1
356,tcp,cloanto-net-1
357,udp,bhevent
357,tcp,bhevent
358,udp,shrinkwrap
358,tcp,shrinkwrap
359,udp,nsrmp
359,tcp,nsrmp
360,udp,scoi2odialog
360,tcp,scoi2odialog
361,udp,semantix
361,tcp,semantix
362,udp,srssend
362,tcp,srssend
363,udp,rsvp_tunnel
363,tcp,rsvp_tunnel
364,udp,aurora-cmgr
364,tcp,aurora-cmgr
365,udp,dtk
365,tcp,dtk
366,udp,odmr
366,tcp,odmr
367,udp,mortgageware
367,tcp,mortgageware
368,udp,qbikgdp
368,tcp,qbikgdp
369,udp,rpc2portmap
369,tcp,rpc2portmap
370,udp,codaauth2
370,tcp,codaauth2
371,udp,clearcase
371,tcp,clearcase
372,udp,ulistproc
372,tcp,ulistproc
373,udp,legent-1
373,tcp,legent-1
374,udp,legent-2
374,tcp,legent-2
375,udp,hassle
375,tcp,hassle
376,udp,nip
376,tcp,nip
377,udp,tnETOS
377,tcp,tnETOS
378,udp,dsETOS
378,tcp,dsETOS
379,udp,is99c
379,tcp,is99c
380,udp,is99s
380,tcp,is99s
381,udp,hp-collector
381,tcp,hp-collector
382,udp,hp-managed-node
382,tcp,hp-managed-node
383,udp,hp-alarm-mgr
383,tcp,hp-alarm-mgr
384,udp,arns
384,tcp,arns
385,udp,ibm-app
385,tcp,ibm-app
386,udp,asa
386,tcp,asa
387,udp,aurp
387,tcp,aurp
388,udp,unidata-ldm
388,tcp,unidata-ldm
389,udp,ldap
389,tcp,ldap
390,udp,uis
390,tcp,uis
391,udp,synotics-relay
391,tcp,synotics-relay
392,udp,synotics-broker
392,tcp,synotics-broker
393,udp,meta5
393,tcp,meta5
394,udp,embl-ndt
394,tcp,embl-ndt
395,udp,netcp
395,tcp,netcp
396,udp,netware-ip
396,tcp,netware-ip
397,udp,mptn
397,tcp,mptn
398,udp,kryptolan
398,tcp,kryptolan
399,udp,iso-tsap-c2
399,tcp,iso-tsap-c2
400,udp,work-sol
400,tcp,work-sol
401,udp,ups
401,tcp,ups
402,udp,genie
402,tcp,genie
403,udp,decap
403,tcp,decap
404,udp,nced
404,tcp,nced
405,udp,ncld
405,tcp,ncld
406,udp,imsp
406,tcp,imsp
407,udp,timbuktu
407,tcp,timbuktu
408,udp,prm-sm
408,tcp,prm-sm
409,udp,prm-nm
409,tcp,prm-nm
410,udp,decladebug
410,tcp,decladebug
411,udp,rmt
411,tcp,rmt
412,udp,synoptics-trap
412,tcp,synoptics-trap
413,udp,smsp
413,tcp,smsp
414,udp,infoseek
414,tcp,infoseek
415,udp,bnet
415,tcp,bnet
416,udp,silverplatter
416,tcp,silverplatter
417,udp,onmux
417,tcp,onmux
418,udp,hyper-g
418,tcp,hyper-g
419,udp,ariel1
419,tcp,ariel1
420,udp,smpte
420,tcp,smpte
421,udp,ariel2
421,tcp,ariel2
422,udp,ariel3
422,tcp,ariel3
423,udp,opc-job-start
423,tcp,opc-job-start
424,udp,opc-job-track
424,tcp,opc-job-track
425,udp,icad-el
425,tcp,icad-el
426,udp,smartsdp
426,tcp,smartsdp
427,udp,svrloc
427,tcp,svrloc
428,udp,ocs_cmu
428,tcp,ocs_cmu
429,udp,ocs_amu
429,tcp,ocs_amu
430,udp,utmpsd
430,tcp,utmpsd
431,udp,utmpcd
431,tcp,utmpcd
432,udp,iasd
432,tcp,iasd
433,udp,nnsp
433,tcp,nnsp
434,udp,mobileip-agent
434,tcp,mobileip-agent
435,udp,mobilip-mn
435,tcp,mobilip-mn
436,udp,dna-cml
436,tcp,dna-cml
437,udp,comscm
437,tcp,comscm
438,udp,dsfgw
438,tcp,dsfgw
439,udp,dasp
439,tcp,dasp
440,udp,sgcp
440,tcp,sgcp
441,udp,decvms-sysmgt
441,tcp,decvms-sysmgt
442,udp,cvc_hostd
442,tcp,cvc_hostd
443,udp,https
443,tcp,https
444,udp,snpp
444,tcp,snpp
445,udp,microsoft-ds
445,tcp,microsoft-ds
446,udp,ddm-rdb
446,tcp,ddm-rdb
447,udp,ddm-dfm
447,tcp,ddm-dfm
448,udp,ddm-ssl
448,tcp,ddm-ssl
449,udp,as-servermap
449,tcp,as-servermap
450,udp,tserver
450,tcp,tserver
451,udp,sfs-smp-net
451,tcp,sfs-smp-net
452,udp,sfs-config
452,tcp,sfs-config
453,udp,creativeserver
453,tcp,creativeserver
454,udp,contentserver
454,tcp,contentserver
455,udp,creativepartnr
455,tcp,creativepartnr
456,udp,macon-udp
456,tcp,macon-tcp
457,udp,scohelp
457,tcp,scohelp
458,udp,appleqtc
458,tcp,appleqtc
459,udp,ampr-rcmd
459,tcp,ampr-rcmd
460,udp,skronk
460,tcp,skronk
461,udp,datasurfsrv
461,tcp,datasurfsrv
462,udp,datasurfsrvsec
462,tcp,datasurfsrvsec
463,udp,alpes
463,tcp,alpes
464,udp,kpasswd
464,tcp,kpasswd
465,udp,igmpv3lite
465,tcp,urd
466,udp,digital-vrc
466,tcp,digital-vrc
467,udp,mylex-mapd
467,tcp,mylex-mapd
468,udp,photuris
468,tcp,photuris
469,udp,rcp
469,tcp,rcp
470,udp,scx-proxy
470,tcp,scx-proxy
471,udp,mondex
471,tcp,mondex
472,udp,ljk-login
472,tcp,ljk-login
473,udp,hybrid-pop
473,tcp,hybrid-pop
474,udp,tn-tl-w2
474,tcp,tn-tl-w1
475,udp,tcpnethaspsrv
475,tcp,tcpnethaspsrv
476,udp,tn-tl-fd1
476,tcp,tn-tl-fd1
477,udp,ss7ns
477,tcp,ss7ns
478,udp,spsc
478,tcp,spsc
479,udp,iafserver
479,tcp,iafserver
480,udp,iafdbase
480,tcp,iafdbase
481,udp,ph
481,tcp,ph
482,udp,bgs-nsi
482,tcp,bgs-nsi
483,udp,ulpnet
483,tcp,ulpnet
484,udp,integra-sme
484,tcp,integra-sme
485,udp,powerburst
485,tcp,powerburst
486,udp,avian
486,tcp,avian
487,udp,saft
487,tcp,saft
488,udp,gss-http
488,tcp,gss-http
489,udp,nest-protocol
489,tcp,nest-protocol
490,udp,micom-pfs
490,tcp,micom-pfs
491,udp,go-login
491,tcp,go-login
492,udp,ticf-1
492,tcp,ticf-1
493,udp,ticf-2
493,tcp,ticf-2
494,udp,pov-ray
494,tcp,pov-ray
495,udp,intecourier
495,tcp,intecourier
496,udp,pim-rp-disc
496,tcp,pim-rp-disc
497,udp,dantz
497,tcp,dantz
498,udp,siam
498,tcp,siam
499,udp,iso-ill
499,tcp,iso-ill
500,udp,isakmp
500,tcp,isakmp
501,udp,stmf
501,tcp,stmf
502,udp,asa-appl-proto
502,tcp,asa-appl-proto
503,udp,intrinsa
503,tcp,intrinsa
504,udp,citadel
504,tcp,citadel
505,udp,mailbox-lm
505,tcp,mailbox-lm
506,udp,ohimsrv
506,tcp,ohimsrv
507,udp,crs
507,tcp,crs
508,udp,xvttp
508,tcp,xvttp
509,udp,snare
509,tcp,snare
510,udp,fcp
510,tcp,fcp
511,udp,passgo
511,tcp,passgo
512,tcp,exec
512,udp,comsat
513,tcp,login
513,udp,who
514,tcp,shell
514,udp,syslog
515,udp,printer
515,tcp,printer
516,udp,videotex
516,tcp,videotex
517,tcp,talk
517,udp,talk
518,udp,ntalk
518,tcp,ntalk
519,udp,utime
519,tcp,utime
520,udp,router
520,tcp,efs
521,udp,ripng
521,tcp,ripng
522,udp,ulp
522,tcp,ulp
523,udp,ibm-db2
523,tcp,ibm-db2
524,udp,ncp
524,tcp,ncp
525,udp,timed
525,tcp,timed
526,udp,tempo
526,tcp,tempo
527,udp,stx
527,tcp,stx
528,udp,custix
528,tcp,custix
529,udp,irc-serv
529,tcp,irc-serv
530,udp,courier
530,tcp,courier
531,udp,conference
531,tcp,conference
532,udp,netnews
532,tcp,netnews
533,udp,netwall
533,tcp,netwall
534,udp,mm-admin
534,tcp,mm-admin
535,udp,iiop
535,tcp,iiop
536,udp,opalis-rdv
536,tcp,opalis-rdv
537,udp,nmsp
537,tcp,nmsp
538,udp,gdomap
538,tcp,gdomap
539,udp,apertus-ldp
539,tcp,apertus-ldp
540,udp,uucp
540,tcp,uucp
541,udp,uucp-rlogin
541,tcp,uucp-rlogin
542,udp,commerce
542,tcp,commerce
543,udp,klogin
543,tcp,klogin
544,udp,kshell
544,tcp,kshell
545,udp,appleqtcsrvr
545,tcp,appleqtcsrvr
546,udp,dhcpv6-client
546,tcp,dhcpv6-client
547,udp,dhcpv6-server
547,tcp,dhcpv6-server
548,udp,afpovertcp
548,tcp,afpovertcp
549,udp,idfp
549,tcp,idfp
550,udp,new-rwho
550,tcp,new-rwho
551,udp,cybercash
551,tcp,cybercash
552,udp,devshr-nts
552,tcp,devshr-nts
553,udp,pirp
553,tcp,pirp
554,udp,rtsp
554,tcp,rtsp
555,udp,dsf
555,tcp,dsf
556,udp,remotefs
556,tcp,remotefs
557,udp,openvms-sysipc
557,tcp,openvms-sysipc
558,udp,sdnskmp
558,tcp,sdnskmp
559,udp,teedtap
559,tcp,teedtap
560,udp,rmonitor
560,tcp,rmonitor
561,udp,monitor
561,tcp,monitor
562,udp,chshell
562,tcp,chshell
563,udp,nntps
563,tcp,nntps
564,udp,9pfs
564,tcp,9pfs
565,udp,whoami
565,tcp,whoami
566,udp,streettalk
566,tcp,streettalk
567,udp,banyan-rpc
567,tcp,banyan-rpc
568,udp,ms-shuttle
568,tcp,ms-shuttle
569,udp,ms-rome
569,tcp,ms-rome
570,udp,meter
570,tcp,meter
571,udp,meter
571,tcp,meter
572,udp,sonar
572,tcp,sonar
573,udp,banyan-vip
573,tcp,banyan-vip
574,udp,ftp-agent
574,tcp,ftp-agent
575,udp,vemmi
575,tcp,vemmi
576,udp,ipcd
576,tcp,ipcd
577,udp,vnas
577,tcp,vnas
578,udp,ipdd
578,tcp,ipdd
579,udp,decbsrv
579,tcp,decbsrv
580,udp,sntp-heartbeat
580,tcp,sntp-heartbeat
581,udp,bdp
581,tcp,bdp
582,udp,scc-security
582,tcp,scc-security
583,udp,philips-vc
583,tcp,philips-vc
584,udp,keyserver
584,tcp,keyserver
585,udp,imap4-ssl
585,tcp,imap4-ssl
586,udp,password-chg
586,tcp,password-chg
587,udp,submission
587,tcp,submission
588,udp,cal
588,tcp,cal
589,udp,eyelink
589,tcp,eyelink
590,udp,tns-cml
590,tcp,tns-cml
591,udp,http-alt
591,tcp,http-alt
592,udp,eudora-set
592,tcp,eudora-set
593,udp,http-rpc-epmap
593,tcp,http-rpc-epmap
594,udp,tpip
594,tcp,tpip
595,udp,cab-protocol
595,tcp,cab-protocol
596,udp,smsd
596,tcp,smsd
597,udp,ptcnameservice
597,tcp,ptcnameservice
598,udp,sco-websrvrmg3
598,tcp,sco-websrvrmg3
599,udp,acp
599,tcp,acp
600,udp,ipcserver
600,tcp,ipcserver
601,udp,syslog-conn
601,tcp,syslog-conn
602,udp,xmlrpc-beep
602,tcp,xmlrpc-beep
603,udp,idxp
603,tcp,idxp
604,udp,tunnel
604,tcp,tunnel
605,udp,soap-beep
605,tcp,soap-beep
606,udp,urm
606,tcp,urm
607,udp,nqs
607,tcp,nqs
608,udp,sift-uft
608,tcp,sift-uft
609,udp,npmp-trap
609,tcp,npmp-trap
610,udp,npmp-local
610,tcp,npmp-local
611,udp,npmp-gui
611,tcp,npmp-gui
612,udp,hmmp-ind
612,tcp,hmmp-ind
613,udp,hmmp-op
613,tcp,hmmp-op
614,udp,sshell
614,tcp,sshell
615,udp,sco-inetmgr
615,tcp,sco-inetmgr
616,udp,sco-sysmgr
616,tcp,sco-sysmgr
617,udp,sco-dtmgr
617,tcp,sco-dtmgr
618,udp,dei-icda
618,tcp,dei-icda
619,udp,compaq-evm
619,tcp,compaq-evm
620,udp,sco-websrvrmgr
620,tcp,sco-websrvrmgr
621,udp,escp-ip
621,tcp,escp-ip
622,udp,collaborator
622,tcp,collaborator
623,udp,asf-rmcp
623,tcp,asf-rmcp
624,udp,cryptoadmin
624,tcp,cryptoadmin
625,udp,dec_dlm
625,tcp,dec_dlm
626,udp,asia
626,tcp,asia
627,udp,passgo-tivoli
627,tcp,passgo-tivoli
628,udp,qmqp
628,tcp,qmqp
629,udp,3com-amp3
629,tcp,3com-amp3
630,udp,rda
630,tcp,rda
631,udp,ipp
631,tcp,ipp
632,udp,bmpp
632,tcp,bmpp
633,udp,servstat
633,tcp,servstat
634,udp,ginad
634,tcp,ginad
635,udp,rlzdbase
635,tcp,rlzdbase
636,udp,ldaps
636,tcp,ldaps
637,udp,lanserver
637,tcp,lanserver
638,udp,mcns-sec
638,tcp,mcns-sec
639,udp,msdp
639,tcp,msdp
640,udp,entrust-sps
640,tcp,entrust-sps
641,udp,repcmd
641,tcp,repcmd
642,udp,esro-emsdp
642,tcp,esro-emsdp
643,udp,sanity
643,tcp,sanity
644,udp,dwr
644,tcp,dwr
645,udp,pssc
645,tcp,pssc
646,udp,ldp
646,tcp,ldp
647,udp,dhcp-failover
647,tcp,dhcp-failover
648,udp,rrp
648,tcp,rrp
649,udp,cadview-3d
649,tcp,cadview-3d
650,udp,obex
650,tcp,obex
651,udp,ieee-mms
651,tcp,ieee-mms
652,udp,hello-port
652,tcp,hello-port
653,udp,repscmd
653,tcp,repscmd
654,udp,aodv
654,tcp,aodv
655,udp,tinc
655,tcp,tinc
656,udp,spmp
656,tcp,spmp
657,udp,rmc
657,tcp,rmc
658,udp,tenfold
658,tcp,tenfold
660,udp,mac-srvr-admin
660,tcp,mac-srvr-admin
661,udp,hap
661,tcp,hap
662,udp,pftp
662,tcp,pftp
663,udp,purenoise
663,tcp,purenoise
664,udp,asf-secure-rmcp
664,tcp,asf-secure-rmcp
665,udp,sun-dr
665,tcp,sun-dr
666,udp,mdqs
666,tcp,mdqs
667,udp,disclose
667,tcp,disclose
668,udp,mecomm
668,tcp,mecomm
669,udp,meregister
669,tcp,meregister
670,udp,vacdsm-sws
670,tcp,vacdsm-sws
671,udp,vacdsm-app
671,tcp,vacdsm-app
672,udp,vpps-qua
672,tcp,vpps-qua
673,udp,cimplex
673,tcp,cimplex
674,udp,acap
674,tcp,acap
675,udp,dctp
675,tcp,dctp
676,udp,vpps-via
676,tcp,vpps-via
677,udp,vpp
677,tcp,vpp
678,udp,ggf-ncp
678,tcp,ggf-ncp
679,udp,mrm
679,tcp,mrm
680,udp,entrust-aaas
680,tcp,entrust-aaas
681,udp,entrust-aams
681,tcp,entrust-aams
682,udp,xfr
682,tcp,xfr
683,udp,corba-iiop
683,tcp,corba-iiop
684,udp,corba-iiop-ssl
684,tcp,corba-iiop-ssl
685,udp,mdc-portmapper
685,tcp,mdc-portmapper
686,udp,hcp-wismar
686,tcp,hcp-wismar
687,udp,asipregistry
687,tcp,asipregistry
688,udp,realm-rusd
688,tcp,realm-rusd
689,udp,nmap
689,tcp,nmap
690,udp,vatp
690,tcp,vatp
691,udp,msexch-routing
691,tcp,msexch-routing
692,udp,hyperwave-isp
692,tcp,hyperwave-isp
693,udp,connendp
693,tcp,connendp
694,udp,ha-cluster
694,tcp,ha-cluster
695,udp,ieee-mms-ssl
695,tcp,ieee-mms-ssl
696,udp,rushd
696,tcp,rushd
697,udp,uuidgen
697,tcp,uuidgen
698,udp,olsr
698,tcp,olsr
699,udp,accessnetwork
699,tcp,accessnetwork
700,tcp,epp
700,udp,epp
701,tcp,lmp
701,udp,lmp
702,tcp,iris-beep
702,udp,iris-beep
704,udp,elcsd
704,tcp,elcsd
705,udp,agentx
705,tcp,agentx
706,udp,silc
706,tcp,silc
707,udp,borland-dsj
707,tcp,borland-dsj
709,udp,entrust-kmsh
709,tcp,entrust-kmsh
710,udp,entrust-ash
710,tcp,entrust-ash
711,udp,cisco-tdp
711,tcp,cisco-tdp
712,tcp,tbrpf
712,udp,tbrpf
729,udp,netviewdm1
729,tcp,netviewdm1
730,udp,netviewdm2
730,tcp,netviewdm2
731,udp,netviewdm3
731,tcp,netviewdm3
741,udp,netgw
741,tcp,netgw
742,udp,netrcs
742,tcp,netrcs
744,udp,flexlm
744,tcp,flexlm
747,udp,fujitsu-dev
747,tcp,fujitsu-dev
748,udp,ris-cm
748,tcp,ris-cm
749,udp,kerberos-adm
749,tcp,kerberos-adm
750,udp,loadav
750,tcp,rfile
751,udp,pump
751,tcp,pump
752,udp,qrh
752,tcp,qrh
753,udp,rrh
753,tcp,rrh
754,udp,tell
